PM 1.0,PM 2.5,PM 10,temperature,gas,pressure,altitude,relative humidity,time
0,1,1,25.21984375,197141,997.1401296883382,134.99739768751783,15.660811264112272,1677108762.5305681
0,1,1,25.156953125,195736,997.1307993523702,135.07609405470842,15.65274180854907,1677108763.7228217
0,1,1,25.0856640625,197141,997.1268764814497,135.10918153972978,15.659390551740277,1677108764.9189522
0,0,0,25.0409375,195968,997.1195072939969,135.1713372930876,15.67235673858031,1677108766.112081
0,0,0,25.006953125,196671,997.1158866202145,135.20187617029686,15.685839638869753,1677108767.3046942
0,0,0,24.9782421875,196788,997.1192600989253,135.17342227783107,15.714698191480595,1677108768.4973269
0,0,0,24.95734375,196671,997.1320859393948,135.0652423494815,15.7439378928024,1677108769.690106
0,0,0,24.9497265625,195503,997.1317576731282,135.06801110690725,15.758696486938753,1677108770.8835006
0,0,0,24.9497265625,196553,997.1264755128453,135.11256351845384,15.773825122204498,1677108772.0775623
0,0,1,24.942109375,195503,997.1296684580184,135.08563258102473,15.798674857046686,1677108773.2710886
0,0,1,24.9501171875,195968,997.1288851246919,135.09223960964962,15.829333072371565,1677108774.4638414
0,0,1,24.9298046875,198448,997.1268348762953,135.10953245929102,15.848530464923147,1677108775.6565042
0,0,1,24.8878125,198448,997.1380635426991,135.01482446366566,15.846490287700147,1677108776.8489358
0,0,1,24.8346875,200258,997.1378286802739,135.01680539795393,15.843910484011097,1677108778.0412889
0,0,1,24.78,198448,997.1385057987005,135.01109428062753,15.85134517131525,1677108779.2337978
0,0,1,24.742890625,198329,997.1419750831734,134.98183284493,15.864677400709752,1677108780.4325347
0,0,1,24.71125,199772,997.1422044916961,134.97989791780017,15.858096531909448,1677108781.6312199
0,0,1,24.6223828125,201730,997.1300499016799,135.0824152941899,15.843699298951023,1677108782.8234475
0,0,1,24.5262890625,202973,997.114651556252,135.21229344159119,15.849126695259901,1677108784.01852
0,0,1,24.462421875,202723,997.0999987075187,135.33588516624232,15.861156509338155,1677108785.211676
0,0,1,24.3423046875,203475,997.0991406561093,135.34312257947892,15.870459469513483,1677108786.404755
0,0,1,24.18,204740,997.077325785956,135.52712633702984,15.89283678538561,1677108787.5974562
0,0,1,24.0204296875,205763,997.0757758146215,135.54020013730178,15.920379686443706,1677108788.7903266
0,0,1,23.89484375,206797,997.0814140777848,135.49264222286016,15.954602096000597,1677108789.9828663
0,0,1,23.783515625,206150,997.0755443376552,135.54215261586876,15.999590326375255,1677108791.1754937
0,0,1,23.698359375,206021,997.0727392105525,135.56581353294808,16.05593253821105,1677108792.367878
0,0,1,23.626875,206279,997.0768326531506,135.53128584430223,16.107907625661518,1677108793.560089
0,0,1,23.588984375,204359,997.0788104533362,135.51460338228313,16.186761303669677,1677108794.75244
0,0,1,23.5690625,203727,997.0860786268829,135.45329760688963,16.256443607741375,1677108795.9457073
0,0,1,23.56125,202973,997.0871368822617,135.44437143764034,16.34191679895831,1677108797.143434
0,0,1,23.5618359375,201978,997.0968965007764,135.36205139865646,16.40259043194687,1677108798.3372412
0,0,1,23.563984375,201978,997.0987138960248,135.34672217812928,16.458316764199967,1677108799.5312295
0,0,1,23.570625,203224,997.1009770038604,135.32763352823872,16.524415949721963,1677108800.725011
0,0,0,23.5778515625,202599,997.1042147779574,135.30032391570606,16.56526963792637,1677108801.9183168
0,0,0,23.5925,202101,997.1127718303767,135.22814819872656,16.591319177455297,1677108803.1122105
0,0,0,23.6012890625,202350,997.1273939643206,135.10481682043374,16.61708232443583,1677108804.3057616
